lon_deg,lat_deg,z_horizon_elev_m,basement_depth_m
139.690733,-27.791703,-2826.1,2826.1
139.675585,-27.802478,-2837.2,2837.2
139.701948,-27.777843,-2816.6,2816.6
139.682329,-27.774297,-2720.2,2720.2
139.715929,-27.768349,-2782.7,2782.7
139.696771,-27.762881,-2738.7,2738.7
139.732945,-27.770384,-2766.7,2766.7
139.728863,-27.755454,-2747.3,2747.3
139.745137,-27.759449,-2808.1,2808.1
139.769046,-27.750709,-2867.8,2867.8
139.743335,-27.743833,-2775.4,2775.4
139.782235,-27.782644,-2923.9,2923.9
139.806351,-27.760284,-2980.3,2980.3
139.818476,-27.790473,-3009.5,3009.5
139.824328,-27.822281,-3073.9,3073.9
139.835388,-27.767564,-3036.8,3036.8
139.835175,-27.740126,-3037.9,3037.9
139.843785,-27.784591,-3094.6,3094.6
139.856952,-27.772985,-3095.8,3095.8
139.847639,-27.803592,-3147.6,3147.6
139.861438,-27.788843,-3128.2,3128.2
139.857047,-27.831006,-3217.9,3217.9
139.831793,-27.851647,-3123.4,3123.4
139.881487,-27.805299,-3242.8,3242.8
139.882975,-27.831571,-3282.3,3282.3
139.878082,-27.778234,-3182.6,3182.6
139.899016,-27.783430,-3269.7,3269.7
139.899412,-27.757271,-3108.4,3108.4
139.904806,-27.798105,-3316.1,3316.1
139.916819,-27.787896,-3256.1,3256.1
139.906625,-27.811828,-3333.6,3333.6
139.920402,-27.802185,-3298.7,3298.7
139.896807,-27.822390,-3302.8,3302.8
139.912381,-27.826546,-3269.1,3269.1
139.900817,-27.836998,-3266.7,3266.7
139.888875,-27.848463,-3254.9,3254.9
139.905784,-27.852226,-3111.3,3111.3
139.872797,-27.845767,-3259.9,3259.9
139.876852,-27.860604,-3295.9,3295.9
139.857876,-27.857215,-3244.7,3244.7
139.842451,-27.880892,-3210.0,3210.0
139.865469,-27.872527,-3280.8,3280.8
139.867952,-27.887880,-3270.2,3270.2
139.881535,-27.875495,-3283.1,3283.1
139.854643,-27.898288,-3192.8,3192.8
139.866626,-27.899312,-3244.6,3244.6
139.836381,-27.905282,-3109.4,3109.4
139.852286,-27.911013,-3153.7,3153.7
139.816217,-27.898729,-3021.5,3021.5
139.821700,-27.912707,-3058.7,3058.7
139.823832,-27.921172,-3019.3,3019.3
139.829990,-27.914911,-3054.3,3054.3
139.838740,-27.920778,-3055.9,3055.9
139.845826,-27.936210,-3063.7,3063.7
139.857815,-27.923839,-3129.0,3129.0
139.836315,-27.949061,-3018.6,3018.6
139.853714,-27.951566,-2994.5,2994.5
139.842137,-27.967693,-2983.7,2983.7
139.867412,-27.967554,-2958.5,2958.5
139.879011,-27.982785,-3044.8,3044.8
139.887963,-27.969653,-3002.2,3002.2
139.885088,-27.997037,-3128.1,3128.1
139.895971,-27.984053,-3064.1,3064.1
139.878124,-28.008859,-3175.3,3175.3
139.894586,-28.012275,-3109.0,3109.0
139.868842,-28.019545,-3212.4,3212.4
139.883385,-28.019914,-3213.1,3213.1
139.851912,-28.017779,-3173.1,3173.1
139.858265,-28.034195,-3190.9,3190.9
139.845379,-28.041824,-3103.9,3103.9
139.854848,-28.045217,-3142.8,3142.8
139.840286,-28.049247,-3098.2,3098.2
139.849098,-28.050893,-3125.3,3125.3
139.834127,-28.054134,-3140.7,3140.7
139.843345,-28.056843,-3150.5,3150.5
139.825555,-28.053087,-3134.2,3134.2
139.828509,-28.060426,-3158.2,3158.2
139.820125,-28.058399,-3125.1,3125.1
139.821942,-28.065823,-3148.9,3148.9
139.817011,-28.071451,-3166.4,3166.4
139.825355,-28.073647,-3253.4,3253.4
139.819223,-28.078862,-3243.1,3243.1
139.813497,-28.084055,-3200.3,3200.3
139.821618,-28.086274,-3234.8,3234.8
139.802147,-28.087737,-3169.9,3169.9
139.814730,-28.091010,-3181.5,3181.5
139.802089,-28.099726,-3126.9,3126.9
139.796474,-28.105608,-3022.0,3022.0
139.809546,-28.095947,-3164.0,3164.0
139.811035,-28.102874,-3141.9,3141.9
139.817399,-28.098308,-3153.5,3153.5
139.823692,-28.093559,-3170.2,3170.2
139.825676,-28.100829,-3138.4,3138.4
139.830161,-28.088680,-3233.3,3233.3
139.832126,-28.096050,-3146.8,3146.8
139.827922,-28.081225,-3335.1,3335.1
139.836545,-28.083599,-3322.1,3322.1
139.838617,-28.091116,-3178.2,3178.2
139.834142,-28.075978,-3331.9,3331.9
139.842872,-28.078307,-3373.4,3373.4
139.831364,-28.068219,-3193.5,3193.5
139.840298,-28.070516,-3289.7,3289.7
139.837420,-28.062563,-3186.5,3186.5
139.849128,-28.072787,-3380.7,3380.7
139.851557,-28.080633,-3300.8,3300.8
139.846371,-28.064852,-3258.3,3258.3
139.855263,-28.067019,-3348.3,3348.3
139.852290,-28.058979,-3194.7,3194.7
139.861204,-28.060983,-3288.7,3288.7
139.864192,-28.069095,-3317.7,3317.7
139.857993,-28.052866,-3165.0,3165.0
139.866861,-28.054649,-3220.6,3220.6
139.863224,-28.046058,-3166.7,3166.7
139.872264,-28.048296,-3206.3,3206.3
139.875893,-28.056395,-3267.1,3267.1
139.868735,-28.040738,-3194.1,3194.1
139.877272,-28.041747,-3236.7,3236.7
139.872429,-28.033149,-3216.0,3216.0
139.878900,-28.027290,-3239.4,3239.4
139.882314,-28.035087,-3254.9,3254.9
139.887412,-28.028573,-3243.4,3243.4
139.892364,-28.022716,-3174.4,3174.4
139.896048,-28.029765,-3197.7,3197.7
139.900310,-28.022846,-3094.3,3094.3
139.905066,-28.017450,-3018.6,3018.6
139.909045,-28.024027,-2953.3,2953.3
139.908100,-28.010282,-2996.4,2996.4
139.913228,-28.017575,-2878.5,2878.5
139.904224,-27.998611,-3025.3,3025.3
139.913879,-28.004357,-2971.6,2971.6
139.917570,-28.011052,-2888.4,2888.4
139.917434,-27.997035,-2972.0,2972.0
139.922047,-28.004518,-2840.1,2840.1
139.914576,-27.984757,-3062.8,3062.8
139.923306,-27.991436,-3013.2,3013.2
139.926575,-27.998079,-2885.5,2885.5
139.926849,-27.985160,-3057.9,3057.9
139.931107,-27.991807,-2962.0,2962.0
139.924351,-27.978506,-3085.5,3085.5
139.932192,-27.978611,-3107.5,3107.5
139.919489,-27.971338,-3152.3,3152.3
139.928684,-27.972332,-3168.4,3168.4
139.905085,-27.971095,-3086.0,3086.0
139.914201,-27.959068,-3179.1,3179.1
139.930079,-27.961785,-3254.4,3254.4
139.898359,-27.957197,-3063.3,3063.3
139.908288,-27.945203,-3175.9,3175.9
139.882035,-27.954794,-2988.1,2988.1
139.892525,-27.942848,-3065.4,3065.4
139.877330,-27.940538,-3001.2,3001.2
139.902562,-27.931029,-3128.2,3128.2
139.918045,-27.933323,-3227.4,3227.4
139.886314,-27.927982,-3059.5,3059.5
139.897374,-27.917114,-3079.7,3079.7
139.871817,-27.928528,-3061.9,3061.9
139.877361,-27.920952,-3116.7,3116.7
139.862492,-27.938475,-3020.0,3020.0
139.868585,-27.950596,-2979.2,2979.2
139.869260,-27.919928,-3164.4,3164.4
139.864499,-27.913219,-3204.8,3204.8
139.874489,-27.913677,-3189.1,3189.1
139.861853,-27.905518,-3204.5,3204.5
139.870873,-27.906230,-3230.8,3230.8
139.877225,-27.898916,-3197.2,3197.2
139.879701,-27.907418,-3145.7,3145.7
139.890760,-27.903610,-3048.9,3048.9
139.886367,-27.889405,-3151.4,3151.4
139.884475,-27.915050,-3092.9,3092.9
139.907027,-27.905639,-3077.9,3077.9
139.901887,-27.892148,-3048.4,3048.4
139.912465,-27.919433,-3154.4,3154.4
139.921989,-27.907817,-3161.1,3161.1
139.927522,-27.921469,-3222.5,3222.5
139.933418,-27.935153,-3304.6,3304.6
139.936657,-27.909714,-3267.3,3267.3
139.942584,-27.923098,-3303.9,3303.9
139.931003,-27.896745,-3194.4,3194.4
139.917244,-27.893738,-3099.1,3099.1
139.945534,-27.897747,-3324.7,3324.7
139.951538,-27.911158,-3356.3,3356.3
139.938127,-27.883625,-3265.3,3265.3
139.955518,-27.885553,-3384.5,3384.5
139.926749,-27.887643,-3143.0,3143.0
139.927082,-27.880028,-3149.1,3149.1
139.920514,-27.884011,-3095.6,3095.6
139.911530,-27.882142,-3067.1,3067.1
139.920125,-27.876504,-3098.0,3098.0
139.897858,-27.878500,-3110.5,3110.5
139.911518,-27.868059,-3072.8,3072.8
139.893800,-27.863872,-3187.7,3187.7
139.921550,-27.855067,-3127.4,3127.4
139.930202,-27.868303,-3186.6,3186.6
139.918350,-27.841137,-3124.7,3124.7
139.942286,-27.845626,-3196.1,3196.1
139.927862,-27.830411,-3163.2,3163.2
139.951557,-27.869061,-3327.2,3327.2
139.976964,-27.855869,-3391.4,3391.4
139.970853,-27.822666,-3202.9,3202.9
139.967001,-27.875060,-3408.9,3408.9
139.980728,-27.876508,-3453.9,3453.9
139.970694,-27.888074,-3435.8,3435.8
139.990838,-27.868953,-3469.7,3469.7
139.994111,-27.880247,-3478.2,3478.2
139.999282,-27.860193,-3490.9,3490.9
140.003388,-27.871846,-3493.0,3493.0
139.998208,-27.848673,-3469.9,3469.9
140.011594,-27.851933,-3534.5,3534.5
139.993389,-27.835636,-3363.2,3363.2
140.010011,-27.839800,-3503.2,3503.2
139.994604,-27.821046,-3282.2,3282.2
140.010116,-27.825924,-3347.1,3347.1
139.991690,-27.808803,-3195.7,3195.7
140.007280,-27.812409,-3253.7,3253.7
139.979553,-27.803532,-3150.1,3150.1
139.992166,-27.794553,-3161.9,3161.9
139.965464,-27.801480,-3162.2,3162.2
139.978011,-27.790318,-3125.9,3125.9
139.952964,-27.809832,-3189.3,3189.3
139.949513,-27.796352,-3225.0,3225.0
139.942433,-27.822001,-3186.6,3186.6
139.937051,-27.806544,-3221.2,3221.2
139.924356,-27.816611,-3287.7,3287.7
139.933255,-27.792098,-3199.3,3199.3
139.946360,-27.781903,-3231.1,3231.1
139.962517,-27.786283,-3165.7,3165.7
139.929810,-27.777718,-3189.3,3189.3
139.943352,-27.767462,-3217.4,3217.4
139.914022,-27.773902,-3199.5,3199.5
139.925325,-27.763215,-3179.9,3179.9
139.940973,-27.753221,-3201.5,3201.5
139.957730,-27.757354,-3217.0,3217.0
139.924594,-27.749863,-3145.7,3145.7
139.938339,-27.739387,-3101.3,3101.3
139.919040,-27.736244,-3072.4,3072.4
139.895947,-27.724972,-3014.3,3014.3
139.919916,-27.720539,-3109.6,3109.6
139.869085,-27.742980,-3046.1,3046.1
139.860921,-27.715640,-3025.6,3025.6
139.871182,-27.761765,-3144.1,3144.1
139.853325,-27.757131,-3096.7,3096.7
139.823846,-27.706298,-2941.0,2941.0
139.852615,-27.683538,-2971.5,2971.5
139.799416,-27.730349,-2917.0,2917.0
139.791578,-27.704143,-2846.8,2846.8
139.771294,-27.720845,-2781.7,2781.7
139.754686,-27.731566,-2782.9,2782.9
139.761321,-27.692901,-2774.5,2774.5
139.787849,-27.685343,-2795.2,2795.2
