lon_deg,lat_deg,elev_m,obs_gravity_um,spherical_bouguer_mgal,infinite_slab_bouguer_mgal
139.885246,-28.220677,24.77,9791627.22,-169.91,-198.52
139.886746,-28.228007,22.85,9791635.33,-171.09,-199.71
139.887916,-28.235337,22.80,9791640.23,-171.83,-200.43
139.888417,-28.242177,25.73,9791637.13,-174.39,-202.91
139.889247,-28.249837,23.84,9791645.83,-175.18,-203.69
139.888417,-28.257177,22.88,9791652.04,-176.41,-204.90
139.888247,-28.264007,23.06,9791653.54,-179.73,-208.19
139.887917,-28.270677,24.27,9791651.54,-184.43,-212.84
139.888577,-28.277677,26.28,9791647.03,-190.33,-218.66
139.888417,-28.285337,25.09,9791653.04,-192.47,-220.77
139.814416,-28.125677,23.89,9791515.46,-211.82,-240.62
139.814576,-28.133007,21.94,9791532.37,-204.25,-233.05
139.815916,-28.140337,22.27,9791544.88,-196.63,-225.40
139.816416,-28.147507,28.12,9791547.68,-187.82,-216.47
139.816916,-28.154177,31.98,9791556.99,-176.02,-204.58
139.816746,-28.161677,24.10,9791591.80,-162.25,-190.90
140.047411,-27.893004,45.48,9791366.79,-142.15,-172.62
140.049411,-27.887674,34.45,9791386.80,-139.67,-170.33
140.051911,-27.881674,43.45,9791359.38,-145.01,-175.56
140.055570,-27.873174,36.26,9791369.89,-142.16,-172.86
140.058410,-27.866674,41.96,9791349.88,-146.15,-176.80
140.060740,-27.859504,35.33,9791362.08,-141.50,-172.29
140.063740,-27.853334,28.31,9791374.49,-138.14,-169.09
140.066410,-27.846674,39.80,9791344.77,-140.42,-171.23
140.068910,-27.840004,37.50,9791347.58,-137.09,-167.98
140.071910,-27.833674,36.29,9791345.57,-136.68,-167.65
140.074570,-27.827504,32.19,9791352.38,-133.23,-164.31
140.078240,-27.819674,32.04,9791349.88,-130.12,-161.27
140.080909,-27.813674,31.99,9791346.57,-129.00,-160.20
140.187740,-27.951503,34.63,9791320.16,-253.56,-284.30
140.192240,-27.958173,34.62,9791319.66,-259.09,-289.80
140.195740,-27.963833,34.84,9791320.36,-262.21,-292.90
140.200070,-27.970503,34.63,9791321.16,-266.83,-297.51
140.193070,-27.973333,34.52,9791325.76,-264.60,-295.24
140.184570,-27.977173,37.33,9791325.06,-262.73,-293.28
140.179410,-27.981003,38.94,9791324.36,-263.19,-293.68
140.171740,-27.985003,34.36,9791340.57,-258.95,-289.47
140.165740,-27.987003,34.74,9791343.77,-256.53,-287.02
140.157241,-27.990334,31.98,9791357.38,-250.85,-281.34
140.149911,-27.994834,31.13,9791366.19,-247.11,-277.57
140.144411,-27.998174,30.59,9791373.69,-243.19,-273.63
140.137911,-28.001174,31.66,9791378.09,-238.98,-269.37
140.129911,-28.005174,44.86,9791357.38,-236.96,-267.10
140.122741,-28.008004,29.11,9791405.61,-221.63,-251.99
140.114241,-28.010504,28.66,9791398.30,-231.72,-262.05
140.107411,-28.014834,30.06,9791397.50,-233.07,-263.33
140.100242,-28.019504,30.00,9791439.22,-195.01,-225.23
140.093742,-28.022834,41.02,9791423.72,-191.54,-221.55
140.086572,-28.025834,29.95,9791464.14,-175.00,-205.15
140.080572,-28.028174,34.92,9791462.34,-168.88,-198.93
140.074412,-28.030504,37.79,9791467.04,-160.35,-190.32
140.066572,-28.033175,38.85,9791479.24,-148.11,-178.03
140.059912,-28.035675,33.11,9791507.16,-133.31,-163.28
140.052742,-28.037005,39.61,9791503.56,-125.25,-155.09
140.048412,-28.031505,29.94,9791533.97,-109.56,-139.58
140.043242,-28.025835,29.83,9791540.38,-99.11,-129.15
140.038572,-28.020005,30.35,9791542.88,-91.21,-121.26
140.032912,-28.014175,29.46,9791548.98,-82.46,-112.54
140.028912,-28.007835,35.77,9791534.67,-79.68,-109.69
140.044742,-28.041335,29.75,9791538.58,-112.76,-142.72
140.037913,-28.044505,27.07,9791531.17,-127.81,-157.77
140.032413,-28.047835,39.48,9791528.87,-108.42,-138.15
140.026243,-28.051835,30.27,9791556.69,-101.62,-131.45
140.018913,-28.056005,31.23,9791556.39,-103.22,-132.99
140.012243,-28.059175,34.14,9791550.28,-106.06,-135.74
140.004243,-28.063675,30.07,9791559.69,-108.02,-137.72
139.996743,-28.065835,39.23,9791535.57,-115.92,-145.43
139.988573,-28.070175,35.26,9791541.58,-120.97,-150.49
139.983244,-28.072505,28.32,9791555.49,-122.38,-151.99
139.977074,-28.075505,29.34,9791549.08,-129.08,-158.63
139.969244,-28.079836,41.66,9791514.86,-142.56,-171.86
139.962244,-28.084836,45.98,9791497.85,-154.94,-184.12
139.955574,-28.087506,29.04,9791533.87,-154.02,-183.43
139.948244,-28.091006,25.67,9791537.78,-159.36,-188.78
