lon_deg,lat_deg,bouguer_mgal
79.0000,10.2000,-52.995934
79.0500,10.2000,-51.166944
79.1000,10.2000,-47.521372
79.1500,10.2000,-44.646547
79.2000,10.2000,-42.092232
79.2500,10.2000,-39.527910
79.3000,10.2000,-38.717121
79.3500,10.2000,-42.619479
79.4000,10.2000,-48.708235
79.4500,10.2000,-55.625521
79.5000,10.2000,-63.242822
79.5500,10.2000,-68.728787
79.6000,10.2000,-69.339443
78.6000,10.1500,-38.109167
78.6500,10.1500,-36.983984
78.7000,10.1500,-37.954352
78.7500,10.1500,-39.581721
78.8000,10.1500,-42.228234
78.8500,10.1500,-45.508208
78.9000,10.1500,-47.693539
78.9500,10.1500,-48.575050
79.0000,10.1500,-48.406170
79.0500,10.1500,-45.950152
79.1000,10.1500,-41.551813
79.1500,10.1500,-38.128453
79.2000,10.1500,-36.821766
79.2500,10.1500,-36.608740
79.3000,10.1500,-37.448722
79.3500,10.1500,-39.929317
79.4000,10.1500,-44.009994
79.4500,10.1500,-50.462314
79.5000,10.1500,-59.262878
79.5500,10.1500,-67.121251
79.6000,10.1500,-69.845566
78.6000,10.1000,-39.441464
78.6500,10.1000,-37.360930
78.7000,10.1000,-37.257775
78.7500,10.1000,-37.782896
78.8000,10.1000,-38.923290
78.8500,10.1000,-40.937637
78.9000,10.1000,-42.402114
78.9500,10.1000,-42.479470
79.0000,10.1000,-41.685277
79.0500,10.1000,-39.515731
79.1000,10.1000,-35.601027
79.1500,10.1000,-32.202989
79.2000,10.1000,-31.625478
79.2500,10.1000,-33.222691
79.3000,10.1000,-35.205940
79.3500,10.1000,-36.948320
79.4000,10.1000,-39.684888
79.4500,10.1000,-44.835103
79.5000,10.1000,-53.943680
79.5500,10.1000,-63.919717
79.6000,10.1000,-68.496954
78.6000,10.0500,-40.853547
78.6500,10.0500,-37.720090
78.7000,10.0500,-35.971692
78.7500,10.0500,-34.840161
78.8000,10.0500,-34.373912
78.8500,10.0500,-35.140020
78.9000,10.0500,-35.597689
78.9500,10.0500,-34.426409
79.0000,10.0500,-32.870675
79.0500,10.0500,-31.673157
79.1000,10.0500,-29.897987
79.1500,10.0500,-28.143254
79.2000,10.0500,-28.311117
79.2500,10.0500,-30.659528
79.3000,10.0500,-33.503314
79.3500,10.0500,-36.341596
79.4000,10.0500,-39.658924
79.4500,10.0500,-43.947364
79.5000,10.0500,-50.778647
79.5500,10.0500,-58.933218
79.6000,10.0500,-63.341863
78.6000,10.0000,-40.006283
78.6500,10.0000,-35.157634
78.7000,10.0000,-32.053128
78.7500,10.0000,-29.935396
78.8000,10.0000,-28.506371
78.8500,10.0000,-28.556087
78.9000,10.0000,-28.826039
78.9500,10.0000,-27.602895
79.0000,10.0000,-25.913286
79.0500,10.0000,-25.140120
79.1000,10.0000,-24.782643
79.1500,10.0000,-24.742160
79.2000,10.0000,-25.879356
79.2500,10.0000,-28.419691
79.3000,10.0000,-31.802943
79.3500,10.0000,-36.795964
79.4000,10.0000,-42.608044
79.4500,10.0000,-46.427531
79.5000,10.0000,-48.925365
79.5500,10.0000,-52.478287
79.6000,10.0000,-55.163672
78.6000,9.9500,-36.144164
78.6500,9.9500,-29.964802
78.7000,9.9500,-26.384197
78.7500,9.9500,-24.107888
78.8000,9.9500,-22.232185
78.8500,9.9500,-21.780766
78.9000,9.9500,-22.436994
78.9500,9.9500,-22.575914
79.0000,9.9500,-22.016115
79.0500,9.9500,-21.440132
79.1000,9.9500,-21.097728
79.1500,9.9500,-21.510218
79.2000,9.9500,-23.056195
79.2500,9.9500,-25.709778
79.3000,9.9500,-29.954266
79.3500,9.9500,-37.323332
79.4000,9.9500,-45.273092
79.4500,9.9500,-48.244990
79.5000,9.9500,-46.372164
79.5500,9.9500,-44.920964
79.6000,9.9500,-45.623275
78.6000,9.9000,-31.865149
78.6500,9.9000,-25.673788
78.7000,9.9000,-21.872785
78.7500,9.9000,-19.320606
78.8000,9.9000,-17.196746
78.8500,9.9000,-16.310774
78.9000,9.9000,-16.894407
78.9500,9.9000,-18.053280
79.0000,9.9000,-19.032743
79.0500,9.9000,-19.499131
79.1000,9.9000,-19.718790
79.1500,9.9000,-20.442558
79.2000,9.9000,-22.111764
79.2500,9.9000,-24.825150
79.3000,9.9000,-29.973283
79.3500,9.9000,-38.514488
79.4000,9.9000,-45.731593
79.4500,9.9000,-45.877534
79.5000,9.9000,-40.824649
79.5500,9.9000,-37.030384
79.6000,9.9000,-36.942290
78.6000,9.8500,-27.882734
78.6500,9.8500,-22.112046
78.7000,9.8500,-17.770652
78.7500,9.8500,-14.971114
78.8000,9.8500,-13.725323
78.8500,9.8500,-13.833682
78.9000,9.8500,-14.674296
78.9500,9.8500,-15.931472
79.0000,9.8500,-17.507096
79.0500,9.8500,-19.051828
79.1000,9.8500,-20.624216
79.1500,9.8500,-22.431298
